Hotel Name,Hotel Address,Hotel Rating,Author,Review Rating,Review Title,Review Description,type,Date,Response
,,,OnAir17791282192,5.0,Excellent experience,"Excellent location. Very friendly and supportive staff.  Housekeeping very good & prompt in service. Special thanks to Mr. Bhushan, Mayur and Rohini  of housekeeping team. Concierge service very good. Good cars. Mr Sharad Patil, Sweta Patil & Hema are excellent & very cooperative in service. Always prompt on time. Food very delicious and lots of choices. ",,May 2023,
,,,Escape59816975484,5.0,Was my first experience with surat and it was a great one. Superb ambience and professional staff and services.,"My experience here at the hotel was great. All the services provided by the hotel are superb and up to date. The buffet in the morning is a real charm, you can get all sorts of food from the live counter. Staff here is also very professional and friendly. Supervisor Mr bibhuti bhushan so help full and cooperative and miss Bindu room making so sweet and nice coordination with guest thanks Marriott ",,May 2023,
,,,Sightseer16854555464,5.0,Family stay in Marriott Surat,Marriott Surat is the best 5 star hotel i have stayed in my life till now.  Everything is perfect about the rooms. And again the food i ate here is the best among all hotels i have stayed till date. Hotel staff is really sweet. Very professional 5 star hotel . Special Mention for Mr.Prasenjit who was very cooperative in room service and cleaning. ,,May 2023,
,,,Sunshine11790179385,5.0,Excellent stay 532 osam river view,Excellent service of housekeeping department specialy more help and cooperative supervisor mr bibhuti bhusan and room making ravikant and bindu nice river tapti looking so beautifully food also so testy and healthy  thanks marriot surat,,May 2023,
,,,Heta R,5.0,Stay details,"Prosenjit bhai supervised by Ms. Kavita made sure our room was up to date and ensured an extremely comfortable stay! Marriott never disappoints! Do not think twice, definitely a must stay for everyone!",,May 2023,
,,,Sightsee44196989671,5.0,Room Hygiene,Bajrangi and supervisor Bhusan has kept my room clean and tidy.  In terms of cleanliness and hygiene  the room was superb.   Bajrangi was very supportive  and was prompt  in his action whenever asked. ,,May 2023,
,,,Nomad19048410354,5.0,Excellent stay at Marriott Surat,Excellent environment with good hospitality. Housekeeping is excellent. Food is very good. Housekeeping Supervisor Shri Bibhuti Bhusan Padhi  is very helpful and coordial in his behaviour also. Overall a good experience. Room cleaning by Bindu is also excellent ,,May 2023,
,,,Adventure38086437027,5.0,Great  hotel.,our stay at the hotel was excelent. The people working had treated us very good.It was a pleasure being there  Surat Marriott Hotel.is an excelent hotel to stay.The  help and  serves is very good.thanks,,March 2023,"Dear Valued Guest,    Greetings from Surat Marriott Hotel, Surat!   Thank you so much for sharing your wonderful feedback with us on your recent stay at our Surat Marriott.   It was a pleasure having you stay with us and it was a delight to read such detailed feedback of your stay. It is our earnest endeavor to ensure that our guests have a most enjoyable stay and I am glad to learn that you and family had a pleasant stay with us.   Your compliments about the staff in particular, delight me and it gives me great pleasure to share it with the team. Your kind words of appreciation for our associates will go a long way in encouraging and motivating them to do even better in the future.   We sincerely thank you once again for your kind appreciation and look forward to the pleasure of welcoming you back to the warmth and hospitality of Surat Marriott in the near future  Warm Regards,  Amit Mehta  General Manager & Area Director "
,,,Dilip K,5.0,Excellent and wonderful. Thank you to team Marriott surat HK department and also Bajarangi bhai,Excellent experience bajrangi bhai from Marriott surat. He is so friendly and his room cleaning experience is too nice. I am so satisfied. His timing of cleaning and cleaning of the room is wonderful. ,,May 2023,"Dear Valued Guest,    Greetings from Surat Marriott Hotel, Surat!   Thank you so much for sharing your wonderful feedback with us on your recent stay at our Surat Marriott.   It was a pleasure having you stay with us and it was a delight to read such detailed feedback of your stay. It is our earnest endeavor to ensure that our guests have a most enjoyable stay and I am glad to learn that you and family had a pleasant stay with us.   Your compliments about the staff in particular, delight me and it gives me great pleasure to share it with the team. Your kind words of appreciation for our associates will go a long way in encouraging and motivating them to do even better in the future.   We sincerely thank you once again for your kind appreciation and look forward to the pleasure of welcoming you back to the warmth and hospitality of Surat Marriott in the near future  Warm Regards,  Amit Mehta  General Manager & Area Director "
,,,Sanjay K,5.0,Gratitude to the marriott staff,"As a solo business traveler, I had a great experience staying at the Marriott. The staff was absolutely fantastic.  The names that immediately come to mind are Rajashree at check-out for her amazing service, taking note of my problems and promptly resolving them, and Umaer at check-in for the complimentary upgrade. The breakfast buffet was excellent, and the chefs individually addressed each feedback.   I dont ideally post reviews but the excellent service intimidated to do so. ",,May 2023,"Dear Valued Guest,    Greetings from Surat Marriott Hotel, Surat!   Thank you so much for sharing your wonderful feedback with us on your recent stay at our Surat Marriott.   It was a pleasure having you stay with us and it was a delight to read such detailed feedback of your stay. It is our earnest endeavor to ensure that our guests have a most enjoyable stay and I am glad to learn that you and family had a pleasant stay with us.   Your compliments about the staff in particular, delight me and it gives me great pleasure to share it with the team. Your kind words of appreciation for our associates will go a long way in encouraging and motivating them to do even better in the future.   We sincerely thank you once again for your kind appreciation and look forward to the pleasure of welcoming you back to the warmth and hospitality of Surat Marriott in the near future  Warm Regards,  Amit Mehta  General Manager & Area Director "
,,,OnAir24585283706,5.0,Excellent stay with amazing view,"Supervisor bibhuti bhusan and room cleaning girl rohini super cleaning and so helpful . Very beautiful view from my room sea facing and all staff is talking very politely , food is also very delicious.",,May 2023,"Dear Valued Guest,    Greetings from Surat Marriott Hotel, Surat!   Thank you so much for sharing your wonderful feedback with us on your recent stay at our Surat Marriott.   It was a pleasure having you stay with us and it was a delight to read such detailed feedback of your stay. It is our earnest endeavor to ensure that our guests have a most enjoyable stay and I am glad to learn that you and family had a pleasant stay with us.   Your compliments about the staff in particular, delight me and it gives me great pleasure to share it with the team. Your kind words of appreciation for our associates will go a long way in encouraging and motivating them to do even better in the future.   We sincerely thank you once again for your kind appreciation and look forward to the pleasure of welcoming you back to the warmth and hospitality of Surat Marriott in the near future  Warm Regards,  Amit Mehta  General Manager & Area Director "
,,,Dream39470550465,5.0,Good hospitality. Good attitude and sincerity.,Good response and sincerity. He has attend my call timely and responded immediately to collect my laundry. Room housekeeping was done effectively and very neet. Bathroom also made tidy and neet. His attitude is very good and positive.,,May 2023,"Dear Valued Guest,    Greetings from Surat Marriott Hotel, Surat!   Thank you so much for sharing your wonderful feedback with us on your recent stay at our Surat Marriott.   It was a pleasure having you stay with us and it was a delight to read such detailed feedback of your stay. It is our earnest endeavor to ensure that our guests have a most enjoyable stay and I am glad to learn that you and family had a pleasant stay with us.   Your compliments about the staff in particular, delight me and it gives me great pleasure to share it with the team. Your kind words of appreciation for our associates will go a long way in encouraging and motivating them to do even better in the future.   We sincerely thank you once again for your kind appreciation and look forward to the pleasure of welcoming you back to the warmth and hospitality of Surat Marriott in the near future  Warm Regards,  Amit Mehta  General Manager & Area Director "
,,,Raima Mukherjee,5.0,Excellent service,The hotel is very nice and have premium services specially the receptionist; Yugal was so humble and nice excellent services  provided by him & had a great time over there would love to visit again! Also the food was good too! ,,May 2023,"Dear Valued Guest,    Greetings from Surat Marriott Hotel, Surat!   Thank you so much for sharing your wonderful feedback with us on your recent stay at our Surat Marriott.   It was a pleasure having you stay with us and it was a delight to read such detailed feedback of your stay. It is our earnest endeavor to ensure that our guests have a most enjoyable stay and I am glad to learn that you and family had a pleasant stay with us.   Your compliments about the staff in particular, delight me and it gives me great pleasure to share it with the team. Your kind words of appreciation for our associates will go a long way in encouraging and motivating them to do even better in the future.   We sincerely thank you once again for your kind appreciation and look forward to the pleasure of welcoming you back to the warmth and hospitality of Surat Marriott in the near future  Warm Regards,  Amit Mehta  General Manager & Area Director "
,,,Explore39574615876,5.0,Excellent Service by staff members,"Excellent service by Bajrangi Room cleaning 4th Floor 10 out of 10 , river side view 10/10 , bathroom always kept clean aswell as bed tidyness , corridors kept clean,fresh towels supplied 10/10 , all room service all round very good , highly impressed and will recommend to anyone , Moe , South Africa ",,May 2023,"Dear Valued Guest,    Greetings from Surat Marriott Hotel, Surat!   Thank you so much for sharing your wonderful feedback with us on your recent stay at our Surat Marriott.   It was a pleasure having you stay with us and it was a delight to read such detailed feedback of your stay. It is our earnest endeavor to ensure that our guests have a most enjoyable stay and I am glad to learn that you and family had a pleasant stay with us.   Your compliments about the staff in particular, delight me and it gives me great pleasure to share it with the team. Your kind words of appreciation for our associates will go a long way in encouraging and motivating them to do even better in the future.   We sincerely thank you once again for your kind appreciation and look forward to the pleasure of welcoming you back to the warmth and hospitality of Surat Marriott in the near future  Warm Regards,  Amit Mehta  General Manager & Area Director "
,,,Camper15615603426,5.0,Worth the view.,"Well stay was amazing. They upgraded my room to best river view. House keeping by Arun kumar, very professional.   Breakfast was okay and also don’t order laal maas from the menu. I got it half cooked. Marriott really need a specialised chef for these kind of meals. ",,May 2023,"Dear Valued Guest,    Greetings from Surat Marriott Hotel, Surat!   Thank you so much for sharing your wonderful feedback with us on your recent stay at our Surat Marriott.   It was a pleasure having you stay with us and it was a delight to read such detailed feedback of your stay. It is our earnest endeavor to ensure that our guests have a most enjoyable stay and I am glad to learn that you and family had a pleasant stay with us.   Your compliments about the staff in particular, delight me and it gives me great pleasure to share it with the team. Your kind words of appreciation for our associates will go a long way in encouraging and motivating them to do even better in the future.   We sincerely thank you once again for your kind appreciation and look forward to the pleasure of welcoming you back to the warmth and hospitality of Surat Marriott in the near future  Warm Regards,  Amit Mehta  General Manager & Area Director "
,,,Voyager09706129480,5.0,Family stay surat Marriott ,Nice family hotel room cleaning is good supervisor bibhuti bhusan so helpful and room cleaning Bindu so maintained room nice food was very good the view was super river tapti river room was very good staff was also good ,,May 2023,"Dear Valued Guest,    Greetings from Surat Marriott Hotel, Surat!   Thank you so much for sharing your wonderful feedback with us on your recent stay at our Surat Marriott.   It was a pleasure having you stay with us and it was a delight to read such detailed feedback of your stay. It is our earnest endeavor to ensure that our guests have a most enjoyable stay and I am glad to learn that you and family had a pleasant stay with us.   Your compliments about the staff in particular, delight me and it gives me great pleasure to share it with the team. Your kind words of appreciation for our associates will go a long way in encouraging and motivating them to do even better in the future.   We sincerely thank you once again for your kind appreciation and look forward to the pleasure of welcoming you back to the warmth and hospitality of Surat Marriott in the near future  Warm Regards,  Amit Mehta  General Manager & Area Director "
,,,Freedom59307412643,5.0,Good service experience,"Staff are very friendly and humble, good environment, food and everything is excellent,  room cleaning is good Harpreet and kavita   thay are very helpful , they always trying to given best service, and our all requests done at the same time thanks to all team members who make our stay comfortable..",,May 2023,"Dear Valued Guest,    Greetings from Surat Marriott Hotel, Surat!   Thank you so much for sharing your wonderful feedback with us on your recent stay at our Surat Marriott.   It was a pleasure having you stay with us and it was a delight to read such detailed feedback of your stay. It is our earnest endeavor to ensure that our guests have a most enjoyable stay and I am glad to learn that you and family had a pleasant stay with us.   Your compliments about the staff in particular, delight me and it gives me great pleasure to share it with the team. Your kind words of appreciation for our associates will go a long way in encouraging and motivating them to do even better in the future.   We sincerely thank you once again for your kind appreciation and look forward to the pleasure of welcoming you back to the warmth and hospitality of Surat Marriott in the near future  Warm Regards,  Amit Mehta  General Manager & Area Director "
,,,Dilip,5.0,Customer Satisfaction and support ,Bibhuti bhusan supervisor helped lot during my stay at Surat Marriott hotel..guided well about the services available and made comfortable during the visit.. very much appreciated his support on this aspect ,,May 2023,"Dear Valued Guest,  Greetings from Surat Marriott Hotel  The entire team at Marriott Surat would like to thank you for such great feedback about your stay. It gives us great pleasure to read that your experience is flawless and the team was able to dazzle and delight you.  We look forward to welcoming you back soon.  Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Trip23723094705,5.0,My First Experience With SURAT MARRIOTT,Respected Management  Thank You for Good Environment  and Hospitality . Specially  BIBHUTI BUSHAN Sir Room Boy Mayour Ji for Your Service. ALL CHEFS For Good and Healthy Food  And I Can't Wait To Come Back Soon ...! ,,May 2023,"Dear Valued Guest,  Greetings from Surat Marriott Hotel  The entire team at Marriott Surat would like to thank you for such great feedback about your stay. It gives us great pleasure to read that your experience is flawless and the team was able to dazzle and delight you.  We look forward to welcoming you back soon.  Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,minamidaichi,5.0,Excellent support,"I realized that I had forgotten my earphones after I had checked out and boarded the train to my next destination. I immediately called the hotel and asked the hotel staff to look for it. Soon after, the hotel called me and said they found my earphones. They told me that they would keep it at the hotel until I checked in next week. Today I received the earphones. I really appreciate Bhusan san and his staff!",,May 2023,"Dear Valued Guest,  Greetings from Surat Marriott Hotel  The entire team at Marriott Surat would like to thank you for such great feedback about your stay. It gives us great pleasure to read that your experience is flawless and the team was able to dazzle and delight you.  We look forward to welcoming you back soon.  Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Efrayim,5.0,Excellent stay,The hotel is the best The food is moor then good. The hawse keeping is perfect Every thing I need  Every thing I need the staff are organize emidiatly  I live in this hotel moor then 7 months on and off. I have never have no even small problem  Thank you all the staff!! Bibhuti bhusan supervisor of housekeeping ,,May 2023,"Dear Valued Guest,  Greetings from Surat Marriott Hotel  The entire team at Marriott Surat would like to thank you for such great feedback about your stay. It gives us great pleasure to read that your experience is flawless and the team was able to dazzle and delight you.  We look forward to welcoming you back soon.  Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Mr.dheeraj kumar,5.0,Star property ,Mr.Dheeraj kumar my room was very neet and clean river view very nice.it was a room very clean and beautiful. There are so big and this man was a very cleaning this room. Here in this hotel service to good in other hotels.Hitesh and priyansh are very co-operative staff ,,May 2023,"Dear Valued Guest,  Greetings from Surat Marriott Hotel  The entire team at Marriott Surat would like to thank you for such great feedback about your stay. It gives us great pleasure to read that your experience is flawless and the team was able to dazzle and delight you.  We look forward to welcoming you back soon.  Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Meet Parmar,5.0,Marriott Surat hotel was superb,Room cleaning was excellent form Ganesh and Bindu in short they ready the room give us there behaviour was super they doing great job i love it and we go for lunch dinner or breakfast then they give all type of service and to fast,,May 2023,"Dear Valued Guest,  Greetings from Surat Marriott Hotel  The entire team at Marriott Surat would like to thank you for such great feedback about your stay. It gives us great pleasure to read that your experience is flawless and the team was able to dazzle and delight you.  We look forward to welcoming you back soon.  Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Explore34644194983,5.0,Great Experience to stay in Marriott Surat,"It was pleasant stay for 3 nigh at hotel. It has beautiful location and views , lifetime memories to see high tide in night and low tide effect in morning at Tapti river.       I’m very much impressed with hospitality of Marriott especially restaurant staff Mr Yugal and Mr Vishwa.  Everything is excellent 👌 ",,May 2023,"Dear Valued Guest,  Greetings from Surat Marriott Hotel  The entire team at Marriott Surat would like to thank you for such great feedback about your stay. It gives us great pleasure to read that your experience is flawless and the team was able to dazzle and delight you.  We look forward to welcoming you back soon.  Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Voyager53715505764,5.0,Overall Good Service ,"Very good service across the line.  The housekeeping staff were always available whenever I needed anything and were happy to provide extra water bottle & towels. The room was spacious with a comfortable bed, plush bedding, and high-quality amenities.  Overall, I would recommend this hotel's to anyone looking for exceptional service and attention to detail.",,May 2023,"Dear Valued Guest,  Greetings from Surat Marriott Hotel  The entire team at Marriott Surat would like to thank you for such great feedback about your stay. It gives us great pleasure to read that your experience is flawless and the team was able to dazzle and delight you.  We look forward to welcoming you back soon.  Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Shubhangi,5.0,Amazing Experience,Supervisor Bibhuti bhushan and roomboy Guru were extremely courteous to us. They gave us a complimentary breakfast evn though it was not in our package. They also extended the checkout time to 2pm . Will surely visit again.,,May 2023,"Dear Valued Guest,  Greetings from Surat Marriott Hotel  The entire team at Marriott Surat would like to thank you for such great feedback about your stay. It gives us great pleasure to read that your experience is flawless and the team was able to dazzle and delight you.  We look forward to welcoming you back soon.  Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Neeraj Jaiswal,5.0,Superb Marriott Surat,The rooms were very clean and nicely done. Good housekeeping and especially Arun was very helpful. Overall Breakfast Staff Bishwanath was very warm and helpful.Fromt desk has also improved and Priyansh was also very cute OYA and helpful. Overall gr8 experience,,May 2023,"Dear Valued Guest,  Greetings from Surat Marriott Hotel  The entire team at Marriott Surat would like to thank you for such great feedback about your stay. It gives us great pleasure to read that your experience is flawless and the team was able to dazzle and delight you.  We look forward to welcoming you back soon.  Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Flyer34210760568,5.0,"Everything and services are nice, but the room card sometimes not accessible. Rest of service was great",House keeping is nice the bed sheet was changed daily especially Mayur is enthusiastic and good service. Sufficient bottle water are provided which is really meet our requirement. Anyhow it’s a great experience here.,,May 2023,"Dear Valued Guest,  Greetings from Surat Marriott Hotel  The entire team at Marriott Surat would like to thank you for such great feedback about your stay. It gives us great pleasure to read that your experience is flawless and the team was able to dazzle and delight you.  We look forward to welcoming you back soon.  Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Fearless01560410589,5.0,Service was good,"Well stay in Marriott hotel ,staff are so help full room cleaning guru and mayur so perfectly ,place all एमिनिटीज and towel also supervisor Bibhuti bhusan take care of sevice so responsible to rooms ,food also so testy and hotel view so nice thank u all housekeeping team keep it up and suggest to come surat Marriott hhotel",,May 2023,"Dear Valued Guest,  Greetings from Surat Marriott Hotel  The entire team at Marriott Surat would like to thank you for such great feedback about your stay. It gives us great pleasure to read that your experience is flawless and the team was able to dazzle and delight you.  We look forward to welcoming you back soon.  Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Inspire49508855419,5.0,Extent family tour,"Extent stay surat Marriott hotel ,food also so testy and all are served so politely and family host housekeeping department basically room cleaning so good and room maintains so good bed and all towel so soft room cleaning miss rohini so perfect and bibhuti supervision also so help full thanks all in food chef hemant kumar special take care me so great job all of you and Mr uday and Mr pratap also so cooperative ",,April 2023,"Dear Valued Guest,  Greetings from Surat Marriott Hotel  The entire team at Marriott Surat would like to thank you for such great feedback about your stay. It gives us great pleasure to read that your experience is flawless and the team was able to dazzle and delight you.  We look forward to welcoming you back soon.  Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Guide14146055587,5.0,Excellent ,Talking about this place Name is sufficient I have travelled other hotels too but the staff like pransjeet Arjun chef Hemant are very nice. Everything is excellent like food room pool imprees with everything hope for visiting soon thanks ,,April 2023,"Dear Valued Guest,  Greetings from Surat Marriott Hotel  The entire team at Marriott Surat would like to thank you for such great feedback about your stay. It gives us great pleasure to read that your experience is flawless and the team was able to dazzle and delight you.  We look forward to welcoming you back soon.  Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Dr Dhruv P,5.0,Excellent stay Surat Marriott,Executive stay and the behaviour of staff was really extra careful. Would like to recommend all the tourist in Surat to have a stay for nice and luxurious feeling. Supervisor bhusan and Rohini and Bindu such a fantastic host.,,April 2023,"Dear Valued Guest,  Greetings from Surat Marriott Hotel  The entire team at Marriott Surat would like to thank you for such great feedback about your stay. It gives us great pleasure to read that your experience is flawless and the team was able to dazzle and delight you.  We look forward to welcoming you back soon.  Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Chintan S,5.0,Excellent,"1. Room was very good and tidy , the house keeping staff Vibhuti & Mousumi were very professional and courteous .  2. Chef at the restaurant was again very courteous and food was overall quite good  3. Have been staying in Marriot Surat almost every time I travel  ",,April 2023,"Dear Valued Guest,  Greetings from Surat Marriott Hotel  The entire team at Marriott Surat would like to thank you for such great feedback about your stay. It gives us great pleasure to read that your experience is flawless and the team was able to dazzle and delight you.  We look forward to welcoming you back soon.  Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Jet67538146753,5.0,Excellent service ,"The breakfast at your hotel is great, the housekeeping staff Ganesh, Bindu and Mayur does a great job, the room is kept clean, the communication skills are good and the attendants and Surender at breakfast and dinner also take good care of them.",,April 2023,"Dear Valued Guest,  Greetings from Surat Marriott Hotel  The entire team at Marriott Surat would like to thank you for such great feedback about your stay. It gives us great pleasure to read that your experience is flawless and the team was able to dazzle and delight you.  We look forward to welcoming you back soon.  Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Flyer53838569429,5.0,Satisfied with thorough room cleaning,"I am very satisfied with the enough cleaning of the room. I think Mr. Bhusan's management is very thorough.  In addition to cleaning the room, restocking of amenities is also sufficient. In particular, Ms. Rohimi's attention is wonderful. You will be able to tell a difference of the mainteinunce whether by her or not, whne see the condition of the room.",,April 2023,"Dear Valued Guest,  Greetings from Surat Marriott Hotel  The entire team at Marriott Surat would like to thank you for such great feedback about your stay. It gives us great pleasure to read that your experience is flawless and the team was able to dazzle and delight you.  We look forward to welcoming you back soon.  Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Dreamer02335720059,5.0,Excellent stay,"Excellent cleaning My stayed is very good and staff was very polite way especially thanku my room cleaning by Ravikant Gupta, and sup. Bhushan & Rohini they are fantastic, lobby is aussom very neat and clean thank u so much housekeeping team   Thank you 🙂",,April 2023,"Dear Valued Guest,  Greetings from Surat Marriott Hotel  The entire team at Marriott Surat would like to thank you for such great feedback about your stay. It gives us great pleasure to read that your experience is flawless and the team was able to dazzle and delight you.  We look forward to welcoming you back soon.  Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Saeed T,5.0,"Thanking Surat, Marriott stuff","In the reception, I have a great treatment by Mr. Umaeer he is so kind and helpful guy. Also, in room cleaning Mr. Arun Kumar and his Sr Suprv Mr. Bhusan are very kind and the provide a great service  in housekeeping and in room cleaning with great respect to hotel residence. Moreover, Ms. Suma in the restaurant she is very great and very kind in serving I really appreciate her special care of all customers she is so professional. Also, Mr. Fizan in the gym he is very expert and very supportive and helpful guy giving a great and professional treatment and tightness in the gym. And last but not lest, Mr. Kamlesh, the service manager who is very helpful person even in his personal time and very professional when making our hotel bookings really thank you Mr. Kamlesh for all your…",,April 2023,"Dear Valued Guest,  Greetings from Surat Marriott Hotel  The entire team at Marriott Surat would like to thank you for such great feedback about your stay. It gives us great pleasure to read that your experience is flawless and the team was able to dazzle and delight you.  We look forward to welcoming you back soon.  Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Stay11150309366,5.0,Super se upar.,"Nice experience. Near and clean room and linens. It was nice stay. Worth repeat.  The day to day cleanliness maintained is very nice. Thanks to Mr. Bhusan supervisor and Mr The location is very convenient. Room is having nice river view, with all standard facilities. Above all food quality and service is very good.",,April 2023,"Dear Valued Guest,  Greetings from Surat Marriott Hotel  The entire team at Marriott Surat would like to thank you for such great feedback about your stay. It gives us great pleasure to read that your experience is flawless and the team was able to dazzle and delight you.  We look forward to welcoming you back soon.  Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Sightsee03132621947,5.0,Happy with stay surat marriott,"Bhibhuti bhusan Supervisor so help full and cooperative,  Good aminities and fresh all towel and room cleaning is osam maintain hyginic in room cleaning time use chamical and food also outasnding, specialy thank bibhuti for help me I like marriott hotel surat  Best  wishes bhusan help all guest like this happy with stay",,April 2023,"Dear Valued Guest,  Greetings from Surat Marriott Hotel  The entire team at Marriott Surat would like to thank you for such great feedback about your stay. It gives us great pleasure to read that your experience is flawless and the team was able to dazzle and delight you.  We look forward to welcoming you back soon.  Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Mihir P,5.0,Excellent,Excellent property and very courteous staff. Food at table 101 is amazing.  Mr Vibhuti was very helpful and ensured the best housekeeping during our stay. All in all perfect property to stay - Marriot standards well maintained.,,April 2023,"Dear Valued Guest,  Greetings from Surat Marriott Hotel  The entire team at Marriott Surat would like to thank you for such great feedback about your stay. It gives us great pleasure to read that your experience is flawless and the team was able to dazzle and delight you.  We look forward to welcoming you back soon.  Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Kim Dolma M,5.0,Excellent place to stay in Surat.  ,"This is my first time in Surat Gujarat.  I was very happy with all of the service!  The front desk was professional and pleasant.,  Priyanesh and Shweta were very helpful.  They accommodated us to check out a little later.  Staffs at breakfast were superb and the food was fresh and had many choices both Indian and continental.  The room was very clean and the bed was comfortable as well.  I will definitely come back in future and highly recommend anyone who is visiting in Surat.  ",,April 2023,"Dear Valued Guest,  Greetings from Surat Marriott Hotel  The entire team at Marriott Surat would like to thank you for such great feedback about your stay. It gives us great pleasure to read that your experience is flawless and the team was able to dazzle and delight you.  We look forward to welcoming you back soon.  Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
